Year,Personnel,Total_Costs,YoY%,Revenue,Cost_Pct_Revenue
2024,1580.0,1580.0,,4900.0,32.2
2025,1655.8,1655.8,4.797468354430379,5134.1,32.3
2026,1735.3,1735.3,4.801304505375037,5382.0965,32.2
2027,1818.6,1818.6,4.800322710770466,5644.937772499999,32.2
2028,1905.9,1905.9,4.8003959089409465,5923.641936312498,32.2
2029,1997.4,1997.4,4.800881473319696,6219.302321533811,32.1
2030,2093.3,2093.3,4.801241614098339,6533.093257112983,32.0
2031,2193.7,2193.7,4.7962547174317915,6866.276314868328,31.9
2032,2299.0,2299.0,4.800109404202946,7220.207046545685,31.8
2033,2409.4,2409.4,4.802087864288818,7596.342253481165,31.7
2034,2525.0,2525.0,4.7978749896239625,7996.247831642669,31.6
