Year,asia_pacific,africa_middle_east,south_america,north_america,europe,Total,YoY%
2024,740.0,240.0,980.0,740.0,2200.0,4900.0,
2025,802.9,259.20000000000005,1043.7,773.3,2255.0,5134.1,4.777551020408177
2026,871.1465,279.93600000000004,1111.5404999999998,808.0984999999998,2311.375,5382.0965,4.830379229076165
2027,945.1939524999999,302.33088000000004,1183.7906324999997,844.4629324999999,2369.1593749999993,5644.937772499999,4.883622441552271
2028,1025.5354384624998,326.51735040000005,1260.7370236124998,882.4637644624997,2428.388359374999,5923.641936312498,4.937240675534826
2029,1112.7059507318122,352.63873843200014,1342.6849301473121,922.1746338633121,2489.098068359374,6219.302321533811,4.991192722316429
2030,1207.2859565440162,380.8498375065601,1429.9594506068875,963.6724923871612,2551.325520068358,6533.093257112983,5.045436278160942
2031,1309.9052628502577,411.317824507085,1522.906814896335,1007.0377545445834,2615.1086580700667,6866.276314868328,5.099928083723393
2032,1421.2472101925296,444.22325046765184,1621.8957578645968,1052.3544534990895,2680.486374521818,7220.207046545685,5.15462407055991
2033,1542.0532230588944,479.761110505064,1727.3189821257954,1099.7104039065484,2747.4985338848633,7596.342253481165,5.209479513685578
2034,1673.1277470189002,518.1419993454691,1839.594715963972,1149.197372082343,2816.1859972319844,7996.247831642669,5.264449189058573
2035,1815.3436055155069,559.5933592931067,1959.16837250163,1200.9112538260486,2886.590647162784,8421.607238299077,5.319487534805778
