year,revenue,total_capex,Production Equipment & Tooling,Digital/IT & Software Development,R&D Labs & Testing,Maintenance & Replacement,Sales Infrastructure & Fleet,Sustainability & Energy
2024,6600.0,264.0,79.2,66.0,39.6,39.6,26.4,13.2
2025,6986.8,279.5,83.8,69.9,41.9,41.9,27.9,14.0
2026,7398.7,295.9,88.8,74.0,44.4,44.4,29.6,14.8
2027,7837.5,313.5,94.0,78.4,47.0,47.0,31.4,15.7
2028,8305.1,332.2,99.7,83.1,49.8,49.8,33.2,16.6
2029,8803.6,352.1,105.6,88.0,52.8,52.8,35.2,17.6
2030,9335.2,373.4,112.0,93.4,56.0,56.0,37.3,18.7
2031,9902.4,396.1,118.8,99.0,59.4,59.4,39.6,19.8
2032,10507.5,420.3,126.1,105.1,63.0,63.0,42.0,21.0
2033,11153.5,446.1,133.8,111.5,66.9,66.9,44.6,22.3
2034,11843.3,473.7,142.1,118.4,71.1,71.1,47.4,23.7
2035,12580.1,503.2,151.0,125.8,75.5,75.5,50.3,25.2
